isogroup66386_c0_g1	 Ragulator complex protein LAMTOR5
isogroup15379_c0_g2	 Belongs to the tubulin family
isogroup15350_c0_g1	 Reverse transcriptase (RNA-dependent DNA polymerase)
isogroup15325_c0_g1	SYNPR regulation of opioid receptor signaling pathway
isogroup15344_c0_g1	 Subtilase family
isogroup15341_c0_g1	VPS18 regulation of SNARE complex assembly
isogroup15311_c0_g1	CadN Cadherins are calcium-dependent cell adhesion proteins
isogroup15315_c0_g1	H2AFY2 Variant histone H2A which replaces conventional H2A in a subset of nucleosomes
isogroup15355_c0_g1	ASCC2 Activating signal cointegrator 1 complex subunit
isogroup15300_c0_g1	 CCDC85 family
isogroup15336_c0_g1	RpL9 rRNA binding. It is involved in the biological process described with
isogroup15336_c0_g2	RpL9 rRNA binding. It is involved in the biological process described with
isogroup15306_c0_g1	GABBR2 Gamma-aminobutyric acid type B receptor subunit
isogroup15306_c0_g2	 gamma-aminobutyric acid type B receptor subunit
isogroup15335_c0_g1	MAP1LC3C Belongs to the ATG8 family
isogroup97765_c0_g1	SNRPG Small nuclear ribonucleoprotein
isogroup97727_c0_g1	 Transferase activity, transferring phosphorus-containing groups
isogroup97769_c0_g1	 K02A2.6-like
isogroup97728_c0_g1	 toxin transport
isogroup97779_c0_g1	AIMP1 positive regulation of glucagon secretion
isogroup97754_c0_g1	 zinc finger
isogroup97789_c0_g1	CDK4 cyclin-dependent kinase 4
isogroup97738_c0_g1	ZDHHC6 protein-cysteine S-acyltransferase activity
isogroup33975_c0_g1	 cytoskeleton organization
isogroup33926_c0_g1	 calmodulin-dependent protein kinase activity
isogroup33997_c0_g1	 Lipid phosphate phosphohydrolase
isogroup33940_c0_g1	 Aconitase C-terminal domain
isogroup33940_c0_g2	ACO2 aconitate hydratase activity
isogroup33950_c0_g1	RPN2 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit
isogroup33954_c0_g1	AAGAB Alpha- and
isogroup33983_c0_g1	 piggyBac transposable element-derived protein
isogroup33989_c0_g1	MYO1H translation initiation factor activity
isogroup33984_c0_g1	FDPS dimethylallyltranstransferase activity
isogroup33981_c0_g1	TM2D3 TM2 domain containing 3
isogroup33938_c0_g1	PAPOLG interspecies interaction between organisms
isogroup33900_c0_g1	STX16 Glycosyltransferase like family
isogroup33900_c0_g2	STX16 Glycosyltransferase like family
isogroup33900_c0_g3	STX16 Glycosyltransferase like family
isogroup33958_c0_g1	DNALI1 Dynein axonemal light intermediate chain 1
isogroup33930_c0_g1	 acid amidase
isogroup33968_c0_g1	 Belongs to the glycosyl hydrolase 5 (cellulase A) family
isogroup33934_c0_g1	 negative regulation of non-canonical Wnt signaling pathway
isogroup33909_c0_g1	PLEKHA1 Pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1
isogroup33988_c0_g1	NOP58 Nucleolar protein 58
isogroup33947_c0_g1	LAMC1 Laminin subunit gamma-1
isogroup33912_c0_g1	OGG1 8-oxoguanine DNA glycosylase
isogroup33952_c0_g1	 K02A2.6-like
isogroup42502_c0_g1	 cation transmembrane transporter activity
isogroup42515_c0_g1	ASNA1 ATPase required for the post-translational delivery of tail-anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors, where the tail- anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state, facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. Subsequently, the homodimer reverts towards the open dimer state, lowering its affinity for the membrane-bound receptor, and returning it to the cytosol to initiate a new round of targeting
isogroup42510_c0_g2	PTBP2 regulation of secretory granule organization
isogroup42553_c0_g1	ATP2B2 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium
isogroup42567_c0_g1	RBM25 mRNA processing
isogroup42572_c0_g1	FANCD2 Fanconi anemia
isogroup42516_c0_g1	ASRGL1 asparagine catabolic process via L-aspartate
isogroup42526_c0_g1	WNT4 frizzled binding
isogroup42512_c0_g1	 histone demethylase activity (H3-K9 specific)
isogroup42560_c0_g1	NXF2B Nuclear RNA export factor
isogroup42555_c0_g1	Imp KH domain
isogroup42573_c0_g1	 Transketolase, pyrimidine binding domain
isogroup42591_c0_g2	GATM Glycine amidinotransferase (L-arginine glycine amidinotransferase)
isogroup42532_c0_g1	PPP1CC protein serine/threonine phosphatase activity
isogroup94373_c0_g1	 NHL repeat
isogroup94307_c0_g1	SUMF1 factor 1
isogroup94309_c0_g1	TRAF3IP1 intraciliary transport
isogroup94343_c0_g1	 DEAD-like helicases superfamily
isogroup94306_c0_g1	 Nipped-b homolog
isogroup65254_c0_g1	 SpoU rRNA Methylase family
isogroup65270_c0_g1	PPM1E peptidyl-threonine dephosphorylation
isogroup65229_c0_g1	 Mucin 4, cell surface associated
isogroup65227_c0_g1	LHX1 Lim homeobox
isogroup65261_c0_g1	CNOT11 CCR4-NOT transcription complex subunit
isogroup65265_c0_g1	TSPAN3 tetraspanin
isogroup1635_c1_g1	Nlrp10 NACHT domain
isogroup1692_c2_g1	EXD2 exodeoxyribonuclease I activity
isogroup1692_c0_g1	 Belongs to the iron ascorbate-dependent oxidoreductase family
isogroup1607_c0_g1	FRG1 FSHD region gene 1
isogroup1686_c0_g2	TACC1 Transforming, acidic coiled-coil containing protein 1
isogroup1625_c0_g1	HMCN1 Hemicentin 1
isogroup1671_c0_g1	TUBA3D structural constituent of cytoskeleton
isogroup1671_c0_g2	 structural constituent of cytoskeleton
isogroup1681_c0_g1	SNRPD3 histone pre-mRNA DCP binding
isogroup1654_c0_g1	SLC35B1 Solute carrier family 35, member B1
isogroup1643_c0_g1	ALDH5A1 Aldehyde dehydrogenase 5 family member A1
isogroup1644_c0_g3	TSC1 Tuberous sclerosis
isogroup1612_c0_g1	ACP1 Low molecular weight phosphotyrosine protein
isogroup1612_c0_g2	ACP1 Low molecular weight phosphotyrosine protein
isogroup1615_c0_g1	RYK Tyrosine kinase
isogroup1661_c0_g2	RGP1 Rab guanyl-nucleotide exchange factor activity
isogroup1647_c0_g1	nonA E-box binding
isogroup1660_c0_g1	SRP54 endoplasmic reticulum signal peptide binding
isogroup1672_c0_g4	SPHK2 Sphingosine kinase 2
isogroup1672_c0_g2	SPHK2 sphingosine kinase 2
isogroup1673_c0_g1	LRRC56 Leucine rich repeat containing 56
isogroup1605_c0_g1	 PLAC8 family
isogroup1605_c0_g2	 PLAC8 family
isogroup1629_c0_g1	COA7 Sel1-like repeats.
isogroup1629_c0_g3	RAD23B UV excision repair protein RAD23 homolog B
isogroup1638_c0_g4	CXorf56 RNA splicing
isogroup1638_c0_g1	NUBPL Nucleotide binding protein-like
isogroup1638_c0_g2	CXorf56 RNA splicing
isogroup1604_c0_g1	kinesin-3D Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
isogroup1604_c0_g2	kinesin-3D Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
isogroup1616_c0_g1	C4orf29 Chromosome 4 open reading frame 29
isogroup1682_c0_g1	TMEM131 Transmembrane protein 131-like
isogroup1608_c0_g1	KIAA1279 mitochondrial transport
isogroup1696_c0_g4	 phosphatidylinositol kinase activity
isogroup1696_c0_g1	PIK3CB phosphatidylinositol kinase activity
isogroup1696_c0_g3	 phosphatidylinositol kinase activity
isogroup1621_c0_g2	 Zinc ion binding
isogroup1603_c0_g1	EDC4 deadenylation-independent decapping of nuclear-transcribed mRNA
isogroup1688_c0_g1	 helicase activity
isogroup1688_c0_g2	 dihydropyrimidinase activity
isogroup1688_c0_g3	 dihydropyrimidinase activity
isogroup1659_c0_g1	Gfat2 glutamine--fructose-6-phosphate
isogroup1619_c0_g1	ATOX1 intracellular copper ion transport
isogroup1637_c0_g1	kif5c Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
isogroup1641_c0_g2	C12orf66 negative regulation of TORC1 signaling
isogroup1685_c0_g2	 Alcohol dehydrogenase GroES-like domain
isogroup1600_c0_g1	CRYZ NADPH:quinone reductase activity
isogroup1663_c0_g1	RPS26 cytoplasmic translation
isogroup1648_c0_g1	PHACTR1 stress fiber assembly
isogroup1687_c0_g1	 zinc ion binding
isogroup1684_c1_g1	ACMSD decarboxylase
isogroup1684_c0_g1	ACAD11 very-long-chain-acyl-CoA dehydrogenase activity
isogroup1669_c0_g1	 tRNA-dihydrouridine(16 17) synthase NAD(P)( ) -like
isogroup1636_c0_g1	KCNMA1 large conductance calcium-activated potassium channel activity
isogroup1636_c0_g2	C6orf211 UPF0364 protein C6orf211 homolog
isogroup1601_c0_g1	CNKSR2 identical protein binding
isogroup1653_c0_g1	CCDC115 Coiled-coil domain-containing protein 115
isogroup1676_c0_g1	 Ubiquitin carboxyl-terminal hydrolase
isogroup1650_c2_g1	CTU2 tRNA wobble position uridine thiolation
isogroup1650_c0_g1	PRDX4 negative regulation of male germ cell proliferation
isogroup1652_c0_g1	WDR12 maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
isogroup1646_c0_g1	 CRAL/TRIO, N-terminal domain
isogroup1610_c0_g1	RNF10 RING-type zinc-finger
isogroup1677_c0_g1	NSF Vesicle-fusing ATPase
isogroup1665_c0_g1	 negative regulation of heat generation
isogroup1664_c1_g1	C10orf67 Domain of unknown function (DUF4709)
isogroup1699_c0_g1	SHKBP1 positive regulation of epidermal growth factor receptor signaling pathway
isogroup1645_c0_g1	SCAPER cyclin A-associated protein in the
isogroup1614_c0_g1	 anaphase-promoting complex binding
isogroup1614_c0_g2	LMBR1L endocytosis
isogroup1627_c0_g1	C16orf72 Domain of unknown function (DUF4588)
isogroup1640_c0_g1	 inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity
isogroup1695_c0_g1	PSMA3 The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH
isogroup1695_c0_g2	 Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP
isogroup1622_c0_g1	TRAPPC2L ER to Golgi vesicle-mediated transport
isogroup1656_c0_g1	EHBP1L1 protein transport
isogroup1611_c0_g2	SSR2 cotranslational protein targeting to membrane
isogroup1651_c0_g1	FAM133B family with sequence similarity 133, member B
isogroup1634_c0_g3	CAPZA2 barbed-end actin filament capping
isogroup1697_c0_g1	SOX14 Transcription factor SOX-14
isogroup1642_c0_g2	CCT4 assists the folding of proteins upon ATP hydrolysis
isogroup1649_c0_g1	EXOSC9 U1 snRNA 3'-end processing
isogroup1618_c0_g1	TRANK1 Tetratricopeptide repeat and ankyrin repeat containing 1
isogroup1639_c0_g1	ACVR1 endocardial cushion cell fate commitment
isogroup1639_c0_g2	sax Activin A receptor, type I like
isogroup1617_c0_g1	ATG2B Autophagy-related protein 2 homolog
isogroup1666_c0_g1	UNK polysome binding
isogroup1691_c0_g1	NAA60 N-acetyltransferase 15 (GCN5-related
isogroup16119_c0_g1	HNRNPA1L2 heterogeneous nuclear ribonucleoprotein
isogroup16124_c0_g1	GAMT Converts guanidinoacetate to creatine, using S- adenosylmethionine as the methyl donor
isogroup16183_c0_g1	 gamma-aminobutyric acid type B receptor subunit
isogroup16162_c0_g1	REEP5 Receptor expression-enhancing protein
isogroup16110_c3_g1	 Involved in the retrieval of endoplasmic reticulum membrane proteins from the early Golgi compartment
isogroup16110_c0_g1	EMC6 ER membrane protein complex subunit 6
isogroup16117_c0_g1	 arginyltransferase activity
isogroup16101_c0_g1	XRCC6 X-ray repair complementing defective repair in Chinese hamster cells 6
isogroup16178_c0_g1	COMMD7 NF-kappaB binding
isogroup16137_c1_g1	CCT6B Chaperonin containing TCP1, subunit
isogroup16137_c0_g1	CCT6A unfolded protein binding
isogroup16194_c0_g1	 guanylate kinase activity
isogroup16151_c0_g1	 Mpv17 / PMP22 family
isogroup16151_c0_g2	 Mpv17 / PMP22 family
isogroup16120_c0_g1	UBN1 Ubinuclein 1
isogroup16170_c0_g1	Srp68 Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane
isogroup16133_c0_g2	pgp-2 ATP-binding cassette, subfamily B (MDR TAP), member
isogroup16165_c0_g2	FRAS1 extracellular matrix
isogroup16107_c1_g1	 cysteine-type endopeptidase activity
isogroup16107_c0_g2	 cysteine-type endopeptidase activity
isogroup16179_c0_g1	 G-protein coupled receptor activity
isogroup16198_c0_g1	ANKRD28 Ankyrin repeat
isogroup16193_c0_g1	PSAP Prosaposin
isogroup16112_c0_g1	DCUN1D2 defective in cullin neddylation 1, domain containing 2
isogroup722_c0_g1	ARHGAP39 Rho GTPase activating protein 39
isogroup745_c0_g1	 Deleted in malignant brain tumors 1
isogroup779_c0_g2	 CAAX-box protein maturation
isogroup721_c0_g1	 ephrin receptor activity
isogroup749_c0_g3	RGS1 Regulator of G-protein signaling 1
isogroup737_c0_g1	ABHD12B phosphatidylserine catabolic process
isogroup757_c0_g1	GALC galactosylceramide catabolic process
isogroup760_c1_g1	ARMC4 microtubule binding
isogroup760_c0_g1	NEMF nuclear export
isogroup777_c0_g1	 Glutathione S-transferase, C-terminal domain
isogroup705_c0_g2	EXOC6B Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane
isogroup758_c1_g1	PSMD12 proteasome-mediated ubiquitin-dependent protein catabolic process
isogroup796_c0_g1	 Protein of unknown function (DUF3421)
isogroup726_c0_g1	pus7l Pseudouridylate synthase 7
isogroup772_c0_g2	TUBG2 Tubulin is the major constituent of microtubules. The gamma chain is found at microtubule organizing centers (MTOC) such as the spindle poles or the centrosome
isogroup751_c0_g1	 drug:proton antiporter activity
isogroup751_c0_g2	 drug:proton antiporter activity
isogroup742_c0_g1	LIPE hormone-sensitive lipase activity
isogroup711_c0_g1	PTPRQ protein tyrosine phosphatase activity
isogroup706_c0_g1	VWA5A Von Willebrand factor A
isogroup706_c0_g2	VWA5A Von Willebrand factor A
isogroup720_c0_g1	PARP4 Vault protein inter-alpha-trypsin domain
isogroup720_c0_g2	 cytoskeletal anchoring at plasma membrane
isogroup761_c2_g1	CAPS2 calcium:sodium antiporter activity
isogroup708_c0_g1	 calcium-dependent phospholipid binding
isogroup787_c0_g1	MAP3K15 MAP kinase kinase kinase activity
isogroup731_c0_g1	 EF-hand domain
isogroup767_c0_g1	 Glutathione S-transferase, C-terminal domain
isogroup791_c0_g1	DNASE1 deoxyribonuclease I
isogroup740_c0_g1	SVOP Synaptic vesicle 2-related protein
isogroup770_c0_g1	 scavenger receptor activity
isogroup723_c0_g1	RPS16 Belongs to the universal ribosomal protein uS9 family
isogroup723_c0_g2	RPS16 Belongs to the universal ribosomal protein uS9 family
isogroup702_c0_g1	RPL19 structural constituent of ribosome
isogroup784_c0_g1	 Tyrosine kinase
isogroup784_c0_g2	Nrk ATP binding. It is involved in the biological process described with protein phosphorylation
isogroup794_c1_g1	LARP1 La ribonucleoprotein domain family, member 1
isogroup794_c0_g1	AGBL2 protein side chain deglutamylation
isogroup794_c0_g2	PI4KA Belongs to the PI3 PI4-kinase family
isogroup703_c0_g1	CDC42SE2 regulation of cell shape
isogroup775_c0_g1	SCUBE2 Signal peptide, CUB
isogroup713_c0_g1	SEMA3C cardiac endothelial to mesenchymal transition
isogroup773_c0_g1	 miRNA binding
isogroup790_c1_g1	 activation of NF-kappaB-inducing kinase activity
isogroup769_c0_g1	THUMPD1 tRNA modification
isogroup774_c2_g1	COA7 Sel1-like repeats.
isogroup774_c0_g1	TRMT44 tRNA (uracil) methyltransferase activity
isogroup725_c0_g3	STIP1 stress-induced-phosphoprotein 1
isogroup732_c0_g1	TTC23 TeTratriCopeptide repeat
isogroup763_c0_g1	HERPUD1 Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member
isogroup729_c0_g2	SNX13 Sorting nexin 13
isogroup729_c0_g3	BROX BRO1-like domain
isogroup736_c0_g1	IDE beta-endorphin binding
isogroup795_c1_g2	ZC3H3 zinc finger
isogroup795_c2_g1	MAK16 maturation of LSU-rRNA
isogroup795_c0_g1	INF2 actin binding
isogroup743_c1_g1	 ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
isogroup744_c0_g2	HDAC8 histone deacetylase
isogroup764_c0_g1	 Galactose mutarotase-like
isogroup715_c0_g1	CLTC clathrin light chain binding
isogroup714_c0_g1	 protein propionyltransferase activity
isogroup765_c0_g2	 zinc ion binding
isogroup768_c0_g4	ATP5C1 ATP synthase
isogroup768_c0_g1	ATP5C1 ATP synthase
isogroup768_c0_g2	ATP5C1 ATP synthase
isogroup786_c0_g1	USP8 ubiquitin-like protein-specific protease activity
isogroup786_c0_g2	 Belongs to the peptidase C19 family
isogroup753_c0_g1	RERE cerebellar Purkinje cell layer maturation
isogroup750_c2_g1	 NAD-dependent histone deacetylase activity (H4-K16 specific)
isogroup750_c0_g1	WDR33 Pre-mRNA 3' end processing protein
isogroup798_c0_g1	awd Nucleoside diphosphate kinase
isogroup727_c0_g1	RAB3IL1 Rab guanyl-nucleotide exchange factor activity
isogroup788_c0_g1	 Ankyrin repeats (3 copies)
isogroup701_c1_g1	 Mitogen-activated protein kinase kinase kinase
isogroup701_c0_g1	 MAP kinase kinase kinase activity
isogroup701_c0_g3	 MAP kinase kinase kinase activity
isogroup759_c0_g1	ACP5 negative regulation of superoxide anion generation
isogroup759_c0_g2	ACP5 negative regulation of superoxide anion generation
isogroup793_c0_g1	 Zinc knuckle
isogroup741_c0_g2	NOG Belongs to the noggin family
isogroup754_c0_g1	MCM4 DNA replication initiation
isogroup34234_c0_g1	NSF Vesicle-fusing ATPase
isogroup34217_c0_g1	SDAD1 SDA1 domain containing 1
isogroup34223_c0_g1	 alcohol dehydrogenase (NADP+) activity
isogroup34299_c0_g1	PCMT1 protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
isogroup34216_c0_g1	ARF4 activation of phospholipase D activity
isogroup34260_c0_g1	WDR93 oxidoreductase activity, acting on NAD(P)H
isogroup34280_c0_g1	DNAJA4 heat shock protein binding
isogroup34267_c0_g2	SNRPD3 histone pre-mRNA DCP binding
