k141_145339_5	chemotaxis, protein
k141_116678_48	Cysteine-rich domain
k141_116678_49	PFAM Rubrerythrin
k141_116678_50	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides
k141_116678_51	Belongs to the FPP GGPP synthase family
k141_116678_52	Converts GTP to 7,8-dihydroneopterin triphosphate
k141_116678_53	gag-polyprotein putative aspartyl protease
k141_116678_54	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34
k141_260282_4	Domain in cystathionine beta-synthase and other proteins.
k141_260282_6	Transcriptional regulator
k141_260282_7	serves to protect cells from the toxic effects of hydrogen peroxide
k141_260282_11	Na( ) H( ) antiporter that extrudes sodium in exchange for external protons
k141_260282_12	Protein of unknown function (DUF1778)
k141_116754_3	Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions
k141_116754_4	Phosphorolytic exoribonuclease that removes nucleotide residues following the -CCA terminus of tRNA and adds nucleotides to the ends of RNA molecules by using nucleoside diphosphates as substrates
k141_116754_5	PFAM YicC-like
k141_116754_6	Essential for recycling GMP and indirectly, cGMP
k141_116754_7	Promotes RNA polymerase assembly. Latches the N- and C- terminal regions of the beta' subunit thereby facilitating its interaction with the beta and alpha subunits
k141_116754_8	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance
k141_116754_9	PFAM Endoribonuclease L-PSP
k141_116754_10	protein conserved in bacteria (DUF2058)
k141_116754_11	Catalyzes the hydrolysis of 10-formyltetrahydrofolate (formyl-FH4) to formate and tetrahydrofolate (FH4)
k141_116754_12	Plays a role in the regulation of phosphate uptake
k141_116754_13	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system
k141_116754_14	PFAM binding-protein-dependent transport systems inner membrane component
k141_116754_15	PFAM binding-protein-dependent transport systems inner membrane component
k141_116754_16	TIGRFAM phosphate binding protein
k141_116754_17	Histidine kinase
k141_116754_18	phosphate regulon transcriptional regulatory protein PhoB
k141_116754_19	Sigma-54 interaction domain
k141_116754_20	Sigma-54 interaction domain
k141_116754_21	ribonucleoside-triphosphate reductase
k141_116756_1	-
k141_116756_2	Cobalt uptake substrate-specific transmembrane region
k141_116756_3	Regulatory DnaK co-chaperone. Direct interaction between DnaK and DjlA is needed for the induction of the wcaABCDE operon, involved in the synthesis of a colanic acid polysaccharide capsule, possibly through activation of the RcsB RcsC phosphotransfer signaling pathway. The colanic acid capsule may help the bacterium survive conditions outside the host
k141_116756_4	-
k141_116756_5	-
k141_116756_6	Transglycosylase SLT domain
k141_116756_7	AIR synthase related protein, N-terminal domain
k141_260350_3	Stress responsive A/B Barrel Domain
k141_260350_4	Helix-turn-helix XRE-family like proteins
k141_260350_5	Pfam:HipA_N
k141_260350_7	PIN domain
k141_260350_8	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
k141_332720_1	transposase activity
k141_332720_2	COG2801 Transposase and inactivated derivatives
k141_332720_3	Integrase core domain
k141_260617_2	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
k141_260617_3	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
k141_190529_3	serine threonine protein kinase
k141_190529_4	Anti-anti-sigma regulatory factor (Antagonist of anti-sigma factor)
k141_117535_3	Recombinase
k141_117535_4	PFAM Reverse transcriptase (RNA-dependent DNA polymerase)
k141_333490_2	Subunit R is required for both nuclease and ATPase activities, but not for modification
k141_333490_4	PFAM von Willebrand factor type A
k141_333490_5	CbbQ/NirQ/NorQ C-terminal
k141_333490_6	FAD dependent oxidoreductase
k141_333490_8	4Fe-4S dicluster domain
k141_333490_9	Cysteine-rich domain
k141_333490_10	Transposase IS200 like
k141_483966_1	Protein of unknown function (DUF3604)
k141_483966_2	Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate
k141_191450_12	membrane
k141_191756_1	IS30 family
k141_191756_5	Uncharacterized alpha/beta hydrolase domain (DUF2235)
k141_410755_5	CRISPR-associated protein Cas4
k141_118290_2	TatD related DNase
k141_118290_3	PilZ domain
k141_118290_4	COG0470 ATPase involved in DNA replication
k141_118290_5	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis
k141_118290_6	Functions as a peptidoglycan terminase that cleaves nascent peptidoglycan strands endolytically to terminate their elongation
k141_118290_7	PFAM Aminotransferase, class IV
k141_118290_8	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP
k141_118290_9	Carrier of the growing fatty acid chain in fatty acid biosynthesis
k141_118290_10	PFAM Short-chain dehydrogenase reductase SDR
k141_118290_11	malonyl CoA-acyl carrier protein transacylase
k141_118290_12	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids
k141_118290_13	Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA
k141_118290_14	Belongs to the bacterial ribosomal protein bL32 family
k141_118290_15	Uncharacterized ACR, COG1399
k141_118290_16	Maf-like protein
k141_118290_18	Belongs to the pseudouridine synthase RsuA family
k141_118290_19	Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves
k141_118290_20	Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpB that pull DNA away from mid-cell into both cell halves
k141_118290_21	TIGRFAM Tryptophanyl-tRNA synthetase
k141_118290_22	Peptidase M50
k141_118290_23	Belongs to the SUA5 family
k141_118290_24	pfam php
k141_118290_25	-
k141_118290_26	probably involved in intracellular septation
k141_118290_27	PFAM YCII-related
k141_118290_28	-
k141_118290_30	Involved in a type II secretion system (T2SS, formerly general secretion pathway, GSP) for the export of proteins
k141_118290_32	Type II secretion system (T2SS), protein K
k141_118290_33	General secretion pathway protein J
k141_118290_34	COG2165 Type II secretory pathway, pseudopilin PulG
k141_118290_35	general secretion pathway protein h
k141_118290_36	general secretion pathway protein G
k141_118290_39	TIGRFAM sulfur relay protein, TusE DsrC DsvC family
k141_334381_2	NADPH-dependent FMN reductase
k141_334381_15	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
k141_334381_23	Carbon-nitrogen hydrolase
k141_411118_2	PFAM Integrase
k141_411118_12	transcriptional regulator
k141_411118_13	DNA-3-methyladenine glycosylase
k141_411118_14	Aminotransferase, class I
k141_411118_15	EamA-like transporter family
k141_411118_18	EamA-like transporter family
k141_411118_19	EamA-like transporter family
k141_411118_20	Antibiotic biosynthesis monooxygenase
k141_411118_21	PFAM Alpha beta hydrolase fold-1
k141_411118_22	Glutathione-dependent formaldehyde-activating enzyme
k141_411118_23	Pfam:Pyridox_oxidase
k141_411118_24	His Kinase A (phosphoacceptor) domain
k141_411118_26	Enoyl-CoA hydratase/isomerase
k141_411118_28	Belongs to the sigma-70 factor family. ECF subfamily
k141_411118_29	COG0616 Periplasmic serine proteases (ClpP class)
k141_411118_30	Clan AA aspartic protease
k141_411118_31	Domain of unknown function (DUF697)
k141_411118_32	50S ribosome-binding GTPase
k141_411118_33	TIGRFAM Diguanylate cyclase
k141_411118_34	short-chain dehydrogenase reductase
k141_411118_35	RmuC family
k141_411118_36	HAD-hyrolase-like
k141_411118_37	O-methyltransferase that catalyzes the 2 O-methylation steps in the ubiquinone biosynthetic pathway
k141_411118_38	Catalyzes the deamination of 5-methylthioadenosine and S-adenosyl-L-homocysteine into 5-methylthioinosine and S-inosyl-L- homocysteine, respectively. Is also able to deaminate adenosine
k141_411118_39	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P)
k141_411118_41	Diguanylate cyclase
k141_411118_43	subfamily IA, variant 1
k141_411118_44	PFAM peptidase S49
k141_411118_46	flagellar protein FliS
k141_411118_47	Required for morphogenesis and for the elongation of the flagellar filament by facilitating polymerization of the flagellin monomers at the tip of growing filament. Forms a capping structure, which prevents flagellin subunits (transported through the central channel of the flagellum) from leaking out without polymerization at the distal end
k141_411118_48	FlaG protein
k141_411118_51	Antitoxin Phd_YefM, type II toxin-antitoxin system
k141_43991_1	Class II aldolase
k141_43991_5	NADH ubiquinone oxidoreductase, F subunit, iron sulphur binding
k141_43996_6	Domain of unknown function (DUF4276)
k141_485365_2	Transposase
k141_485365_3	Transposase
k141_44158_1	PFAM Glycosyl transferase, family
k141_44158_2	TIGRFAM FeS assembly protein SufB
k141_44158_3	TIGRFAM FeS assembly ATPase SufC
k141_44158_5	Catalyzes the removal of elemental sulfur and selenium atoms from L-cysteine, L-cystine, L-selenocysteine, and L- selenocystine to produce L-alanine
k141_44158_6	A scaffold on which IscS assembles Fe-S clusters. It is likely that Fe-S cluster coordination is flexible as the role of this complex is to build and then hand off Fe-S clusters
k141_44158_8	Rieske 2Fe-2S
k141_44158_9	Resolvase, N terminal domain
k141_44158_15	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system
k141_44158_17	probably responsible for the translocation of the substrate across the membrane
k141_44158_19	signal-transduction protein containing cAMP-binding and CBS domains
k141_44285_1	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone
k141_44285_2	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region
k141_44285_3	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region
k141_44285_4	Thioredoxin-like [2Fe-2S] ferredoxin
k141_44285_5	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
k141_44285_6	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
k141_44285_7	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain
k141_44285_8	Hydrogenase maturation protease
k141_44285_9	PFAM HupH hydrogenase expression protein
k141_44285_10	NiFe/NiFeSe hydrogenase small subunit C-terminal
k141_44285_11	nitrate reductase activity
k141_44285_12	Cysteine-rich domain
